,Sample Index,Condition,Question,Similarity,Generated Response,True Label
0,0,all_4.jsonl,Text_SubjectiveLit,0.9438451654033233,"I feel relatively confident in my ability to obtain, process, and understand basic health information necessary for making appropriate health decisions. I make an effort to stay informed, and given my organized nature, I am good at keeping track of health-related details. However, there are always areas to improve, especially when it comes to understanding more complex medical information.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions 
1,0,all_4.jsonl,Text_Anxiety,0.9624106216390216,I'm usually most anxious about not being heard or taken seriously about my symptoms. Sometimes it feels like they might just rush through the appointment without fully understanding what I'm going through. I worry that I might leave without the proper information or care that I need.,When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with 
2,0,all_4.jsonl,Text_Numeracy,0.9805105092334698,"One time, a friend of mine was experiencing persistent headaches and wasn't sure what to do about it. Based on some reading I had done, I suggested she keeps track of when they're happening and any potential triggers, like certain foods or lack of sleep. With that information, she was able to discuss it more thoroughly with her doctor, who then identified that it could be related to her eating habits and stress levels. It felt good to know that my advice could help guide her to a better understanding of her","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested"
3,0,all_4.jsonl,Text_TrustPhys,0.984866992335601,"I generally find it hard to fully trust doctors because I've seen instances where they might rush through consultations without really listening to my concerns. It sometimes feels like they're more focused on prescribing medication rather than understanding the root cause of the problem. While I respect their expertise, I wish there was more of a partnership in tackling my health issues.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
4,0,conditioning_on_all.jsonl,Text_SubjectiveLit,0.9471212018168936,"I feel fairly confident in my ability to obtain, process, and understand basic health information and services to make appropriate health decisions. My college education provided me with the skills to research and evaluate information effectively. While maintaining perfect health isn't always my top priority, I believe that I have the capacity to make informed decisions when it comes to managing my health and well-being. Being organized and dependable also helps me stay on track with any health-related goals I set for myself.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions 
5,0,conditioning_on_all.jsonl,Text_Anxiety,0.9012371089331149,"When visiting the doctor's office, I often feel most anxious about what the tests or exams might reveal. There's a worry about possibly discovering something unexpected or serious regarding my health. Additionally, navigating through medical terminology and understanding exactly what the doctor means can be a bit overwhelming for me. Even though I consider myself organized and dependable, the uncertainty of the visit can sometimes throw me off balance and make me feel a little uneasy.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with 
6,0,conditioning_on_all.jsonl,Text_Numeracy,0.959763237810066,"A couple of months ago, I organized a health awareness event at my local community center. As someone who believes in the importance of preventive measures, I invited a nutritionist and a fitness coach to speak about maintaining a balanced diet and the benefits of regular exercise. I also prepared a presentation on the importance of routine health check-ups and vaccinations to prevent diseases, which I gathered from research and medical resources. It was gratifying to see attendees engaged and motivated to make healthier choices after the event.","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested"
7,0,conditioning_on_all.jsonl,Text_TrustPhys,0.9666243072251415,"I generally trust my primary care physician because they've consistently listened to my concerns and provided thoughtful guidance, which helps me feel more secure about my health. Their approach to preventive care aligns with my belief in taking measures to maintain my health, even if it's not always my top priority. However, I occasionally feel that some doctors can be dismissive of concerns, especially when it comes to understanding diverse perspectives on health, so I try to choose healthcare providers who make an effort to be culturally sensitive and patient-centric.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
8,0,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.9431293638678816,"I feel moderately capable of obtaining, processing, and understanding basic health information and services. I try to stay informed and proactive when it comes to my health, though it's not always a top priority for me. I do my best to make informed decisions, but sometimes it can be challenging to navigate all the information out there.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions 
9,0,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.9504310175096423,I tend to feel anxious when visiting the doctor's office because I'm worried they might not take my concerns seriously or overlook important details. I'm also concerned about getting results that might be unexpected or difficult to understand. The uncertainty of what might be said or prescribed can be unsettling.,When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with 
10,0,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.9663494327947956,"A while ago, a close friend of mine started experiencing severe fatigue and frequent headaches. We both initially thought it could be due to stress, but I remembered learning about how important it is to stay hydrated and maintain a regular sleep schedule. I suggested that she try drinking more water and getting consistent rest, while also keeping an eye on other symptoms just in case. After a couple of weeks, she noticed a significant improvement in how she felt. This experience showed me how simple lifestyle adjustments can positively impact health","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested"
11,0,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.9845323560430495,"I often feel that doctors don't always take the time to fully understand my concerns or consider my perspective. Sometimes it seems like they're more focused on prescribing medication rather than exploring the root cause of an issue. Because of this, I can be a bit skeptical and prefer to do my own research to complement their advice.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
12,0,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.9407336918006998,"I feel fairly confident in my ability to obtain and understand basic health information. I did go to college, which has helped me develop research skills to find reliable sources. However, sometimes the medical jargon can be a little overwhelming. When that happens, I try to break it down into simpler terms or ask the doctor to explain things more clearly, so I can make informed health decisions.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions 
13,0,holdout_Text_Numeracy.jsonl,Text_Anxiety,0.924973505304127,"When I visit the doctor's office, I often feel anxious about the possibility of receiving unexpected or negative news about my health. There's also a worry that I might not fully understand the medical jargon or that I won't be able to communicate effectively with the doctor about my concerns. Additionally, I sometimes feel anxious that my symptoms might not be taken seriously, and I won't get the answers or solutions I'm looking for.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with 
