Sample Index,Condition,Text_SubjectiveLit Generated,Text_SubjectiveLit True,Text_Anxiety Generated,Text_Anxiety True,Text_Numeracy Generated,Text_Numeracy True,Text_TrustPhys Generated,Text_TrustPhys True
0,all_4.jsonl,"I believe I have a decent capacity to obtain, process, and understand health information and services. I am a college graduate, which has equipped me with critical thinking and research skills. But it can be a bit overwhelming at times, especially when the information is very technical or when the healthcare system is bureaucratic. I wish I had better knowledge and more resources to understand it more comprehensively and make even more informed decisions.
",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions ,"I think my biggest fear when visiting the doctor's office is hearing bad news about my health. Specifically, I worry about them finding something serious that I was unaware of. Even though I try to take care of myself and keep up with my health, you never really know what could be going on inside your body. So, I always have a sense of anxiety about that.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with ,"A few years back, my cousin was dealing with constant fatigue and unexplained weight loss. Having recently done a college project on autoimmune diseases, her symptoms reminded me of diabetes type 1. I suggested she get tested for it. Turns out, my hunch was right. She got the necessary help early on and is now managing her condition well. This experience made me believe that I'm pretty knowledgeable about health issues to some extent and can use that knowledge practically.","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested","I have mixed feelings about doctors in general. My trust or distrust usually depends on the individual doctor and whether they invest the time to really understand my symptoms and health history in order to come up with a quality care plan. I've had cases where doctors quickly diagnose and prescribe meds without discussing or explaining the possible side effects, or alternatives to the treatment, and I feel this goes against my belief in an informed and shared decision-making process. However, I have also encountered doctors who spent their time to get",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
0,conditioning_on_all.jsonl,"I believe I have a good capacity to obtain, process, and understand basic health information and make appropriate health decisions. I have a college degree which has equipped me well to comprehend information and apply it in ways that benefit me. However, I must admit, despite recognizing the importance of living a healthy lifestyle, I don't prioritize it as much as I should. I make some efforts - I do eat a balance diet and engage in moderate exercise, but I might not go the extra mile to prevent disease",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions ,"I usually get anxious about the possibility of receiving negative news about my health. I make some efforts to stay healthy, but not as much as I should, so the fear of hearing about a potential illness I could have prevented does worry me. Additionally, despite my generally stable emotional state, I feel my anxiety rises due to the often sterile and impersonal environment of the doctor's office. I'm an extroverted individual, and I thrive better in warm, engaging, and friendly environments. The fear",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with ,"A few months ago, I started a health initiative within my community aimed at promoting better eating habits. I noticed that many people around me suffered from preventable diseases such as hypertension and diabetes due to poor dietary choices. Using my knowledge of nutrition from college courses and personal research, I organized weekly meetings where we discussed the benefits of different food groups, portion control, and simple, cost-efficient recipes. I also shared tips on moderate physical activity, emphasizing that you don't necessarily need a gym membership to stay","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested","In my opinion, I trust my primary care physician mainly because she has consistently shown a genuine concern for my health. She takes the time to listen to my worries and doubts and doesn't dismiss my concerns. I also appreciate her thoroughness during check-ups and her timely follow-ups. However, my trust doesn't mean I'm entirely reliant on her. I strongly believe that my health is my responsibility, so I make it a point to educate myself, ask questions, and make informed decisions regarding my health",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
0,holdout_Text_Anxiety.jsonl,"I believe I have a decent capacity to obtain, process, and understand basic health information needed to make appropriate health decisions. I think this is particularly due to my college education which has broadened my critical thinking skills. However, I also acknowledge that health information can sometimes be complex and I may not fully understand everything. But I'm proactive and wouldn't hesitate to ask questions or seek advice when things seem unclear.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions ,"I think the thing that makes me most anxious when visiting the doctor's office is not knowing what they might find. Even if I'm going for a routine checkup, there's always that underlying fear that they might discover something serious. Also, discussing personal health issues can sometimes make me uncomfortable.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with ,"A couple of years ago, a close friend of mine was experiencing persistent abdominal pain. I suggested she get it checked, even advising her on possible conditions it might be, such as gallstones or an ulcer. It turned out to be gallstones, and I was there to support her through the process because of my previous knowledge about it. My continued interest in health-related topics really came in handy during that time.","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested","I tend to be quite cautious when it comes to trusting doctors entirely. This stems from experiences where I've seen hasty diagnoses or treatments suggested without in-depth investigation. I feel like sometimes they are more focused on what is convenient for them, rather than taking the time to fully understand the patient's condition. I believe in seeking second opinions and doing my own research to ensure I'm making the best decisions for my health.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
0,holdout_Text_Numeracy.jsonl,"I believe I have a fair capacity to obtain, process, and understand basic health information for making appropriate health decisions. I stay informed about health topics relevant to me and I try to use that information for better overall wellness. But, sometimes it can be overwhelming or confusing, particularly when there's contradictory information. I do value and trust the expertise of health professionals in helping me understand and apply such information.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions ,"When I visit the doctor's office, I often get anxious about the possibility of receiving some unpleasant news about my health. I also worry about the accuracy of diagnoses due to what I feel is often a rushed consultation. The entire process of waiting, not knowing, and then receiving possibly significant health news can be quite stressful.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with ,"I once had to deal with a recurring stomach issue that was causing me a lot of discomfort. I did some research about it online and found that tweaking my diet can help alleviate my symptoms. I started incorporating more fiber, drinking plenty of fluids, and eliminating certain foods that trigger my symptoms. After a few days, I noticed a significant improvement in how I felt. I shared my experience with my doctor and we discussed about it in detail. It felt empowering to take that initiative and actively participate in managing","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested","I have a bit of a lingering distrust towards doctors in general, partly because, in my experience, they seem to lean towards the easiest solutions rather than fully investigating the root cause of my health issues. It feels like they're more concerned about their convenience rather than my well-being. I would feel more trust if I felt they were truly committed to understanding my unique health needs and conditions.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
0,holdout_Text_SubjectiveLit.jsonl,"I have a decent understanding of health information and I think I could make reasonable decisions based on that. But, in many situations, I think I would need advice from a doctor or health professional. I do try to be proactive with my health, but it's not always my top priority, and I realize there's a lot I don't know.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions ,"What really triggers my anxiety when visiting the doctor's office is the uncertainty. The waiting and unknown about what the doctor might say or find really worries me. Sometimes, even knowing that there might be a possibility of hearing bad news makes me stressed or anxious.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with ,"A few years back, my mother was complaining of intense stomach pain which persisted for days. Based on my knowledge of health issues, it sounded like appendicitis. I urged her to go to the hospital and it turned out I was right. This experience reassured me that my understanding of medical issues was accurate and could help my loved ones when they needed it.","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested","Well, with doctors in general, there's a level of distrust for me. This is due to the fact that, in some of my past experiences, they seem to take the easy route, diagnosing and prescribing medication without delving deeper into the underlying causes of the issues. I sometimes feel like they're more interested in a quick turnover instead of spending the necessary time to understand my overall health.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
0,holdout_Text_TrustPhys.jsonl,"I believe I have a decent capacity to obtain, process, and understand basic health information to make appropriate health decisions. Through my studies and personal research, I've gained knowledge about health topics that are important to me. I'm confident in my ability to process and understand this, but I'm also aware that there's always more to learn. I'm not a physician but I'll do my best to make sound decisions based on the information I have at hand.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions ,"What makes me most anxious when visiting the doctor's office is not knowing what they may find during any exams or tests. As much as I believe my overall health is within my control, there's always that fear of them finding something that's beyond my control. Plus, I often worry that perhaps I haven't been doing enough to prevent diseases and maintain a healthy lifestyle. The anticipation of what they might say sometimes gets the best of me.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with ,"While in college, I took a health education course which was very enlightening. I remember a specific incident where a friend of mine was going through some health issues - she was always tired, noticed weight gain and couldn't concentrate on her studies. Instead of ignoring the problem, I suggested her to get her thyroid levels checked, as I remembered from my course that these were common symptoms of hypothyroidism. And it turned out I was correct, she was diagnosed with the same and received appropriate treatment","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested","I generally trust my primary care physician because she has never led me astray. She isn't quick to prescribe medication, which makes me trust her even more, as it seems she truly cares for my overall wellbeing. However, it's frustrating that sometimes it seems like they're rushing and not really giving me their full time and attention, which can make me hold back with doubts about their overall commitment to my health.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
0,Baseline Zero Shot,"I believe that I have a high level of health literacy. I am able to comfortably obtain and understand health information from doctors or other health professionals, online resources, and through reading medical literature. I feel capable of processing this information and using it to make informed health decisions. Additionally, I am comfortable asking for further clarification from professionals when I do not fully comprehend something. Therefore, I feel confident in my capacity to manage my own health decisions.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions ,"I often feel anxious about the possibility of receiving bad news about my health condition. The anticipation builds up as I wait for my turn, making me increasingly nervous. Additionally, the sterile environment of the doctor's office and the clinical procedures sometimes make me uncomfortable. Uncertainty about the treatment, potential side effects, and the overall medical expenses also contributes to my anxiety.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with ,"A few years ago, my grandmother was diagnosed with diabetes. I took it upon myself to learn as much as I could about the disease. I researched about her diet, exercise, and medication needs. I even attended her doctor's appointments to better understand the medical terminology and implications of her condition. My knowledge in this subject grew considerably as I involved myself more in her care. I managed to properly coordinate her medication schedules and dietary needs, ensuring that her condition remained stable, significantly improving her health and quality","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested","I generally trust my primary care physician because she continually exhibits professionalism and patience. She takes the time to listen and understand my health concerns rather than rushing through the consultation. She explains her diagnoses and treatment plans in a way that's easy to understand, which makes me feel considered and involved. However, sometimes I have doubts mainly when I don't see improvements after treatment or when her predictions about my health condition don't come true. On those occasions, I question whether she might have overlooked something. But overall",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
0,no_system_prompt.jsonl,"I believe that I have a solid capacity to obtain, process, and understand basic health information and services necessary for making appropriate health decisions. I've learned quite a bit about the healthcare industry and medical knowledge through personal experiences and research. However, I understand that medical professionals have years of intensive training and there may be complexities or nuances that I may not fully understand without proper education.
",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions ,"What makes me most anxious or worried while visiting the doctor's office is the fear of unknown. The anxiety related to the diagnosis, whether it will be something serious or not, really bothers me. Consequentially, the possible treatment methods or procedures that follow the diagnosis can also seem daunting.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with ,"A few years ago, a close friend of mine started experiencing persistent headaches. I encouraged her to consult a professional, suspecting that it could be due to high blood pressure because her father also had it. She was reluctant, but finally went, and it turned out that I was correct. Had it not been detected in time, it could have led to serious health issues. It reinforced my belief in the importance of awareness and timely consultation when it comes to health issues.","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested","I distrust doctors in general mostly due to past experiences where I felt my concerns and symptoms were dismissed or not adequately addressed. I find that most doctors are too quick to prescribe medications without fully explaining their side effects or considering alternative treatments. Additionally, I have felt rushed during appointments, which leads me to believe they are more concerned with quantity of patients rather than quality of care. It's this lack of personal attention and thoroughness that has led to my general sense of distrust toward doctors.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
1,all_4.jsonl,"I've always been someone who believes in taking responsibility for my own health. I do my best to stay informed and make decisions based on the information I've obtained. That includes reading up on the latest health news, understanding the impact of lifestyle choices, and comprehending medical information given to me by healthcare professionals. I feel confident in my ability to sift through this information and use it as a basis for making decisions about my health. However, I won't say that it doesn't get overwhelming at times","Having word in the medical insurance and claims industry, I feel well educated on what type of questions to ask, how to research what I need to know, how to read the forms and how to find assistance if I need it. ",The things that make me most anxious when visiting the doctor's office are possible bad news about my health and the uncertainty about what they might find. I also worry about whether or not I'll be able to afford any treatments or medications they might prescribe.,The unknown of what the results of a procedure will be.,"I used to work in a call center for a health insurance company. I had to learn a lot about different types of medical issues, treatments, medications, and medical terminology to be able to explain the ins-and-outs of clients' coverage to them. I remember once helping a client understand the specifics of coverage for a certain expensive medication they needed. It felt good to be able to use my knowledge to help someone get the care they needed.","None of these questions, that's for sure. My knowledge of medical issues was frequently demonstrated while answering questions from clients and completing their medical claims ","It feels like my doctor is always juggling a lot of patients and does not dedicate a lot of time to each person. It often feels rushed and she doesn't thoroughly explain my health conditions and treatments, because of this I feel like I am not getting the maximum care possible. Sometimes it feels like she's already thinking about the next patient while she's with me. This lack of attention makes me distrust her a bit.",It's not necessarily that I don't trust my doctor but  I think she's far too rushed for such a serious matter. She is very casual and nonchalant about things that are of great importance to my life. She brushes off side effects/symptoms as if they are normal every day things but then puts me on medication to alter them and brings up having to have heart surgery. I am getting mixed messages and it makes me unsure of the severity or what she is thinking about course of treatment.
1,conditioning_on_all.jsonl,"I believe I have a good capacity to obtain, process, and understand basic health information and services. It's not always my top priority, so I might not always make the best decisions regarding my health. I do try to take care of myself, but I could definitely be more disciplined. In terms of understanding health information and services, I do feel competent and rely on my own understanding a fair bit, in addition to seeking professional advice when necessary.","Having word in the medical insurance and claims industry, I feel well educated on what type of questions to ask, how to research what I need to know, how to read the forms and how to find assistance if I need it. ","I think the major source of my anxiety stems from the fear of being diagnosed with some sort of serious illness. Even though I know the importance of maintaining my health and try to take measures to do so, it isn't always a priority for me, and I worry that my indifference might catch up with me. Also, uncertainty really bothers me. Not knowing what the doctor might find or say can really unsettle me. Being introverted, communicating my concerns sometimes becomes overwhelming and that adds to the stress",The unknown of what the results of a procedure will be.,"A couple of years ago, I was experiencing frequent headaches and general fatigue. I initially brushed it off, attributing it to stress or lack of sleep, but when the frequency increased, I decided to delve deeper. I knew that these symptoms could be indicative of more serious health issues like hypertension or diabetes. I researched extensively and then consulted a registered nutritionist. I shared my symptoms, diet, and lifestyle habits, suspecting that my nutrition might be part of the cause. The nutritionist suspected that","None of these questions, that's for sure. My knowledge of medical issues was frequently demonstrated while answering questions from clients and completing their medical claims ","In general, I find it a bit difficult to completely trust doctors. This largely stems from my experience with how impersonal and rushed medical visits can be. It often feels as though the doctor is more interested in moving on to the next patient, rather than truly understanding my concerns and health issues. Additionally, the increasing reliance on pharmaceuticals instead of emphasizing a healthier lifestyle has made me somewhat skeptical. That being said, I do acknowledge that there are good doctors who are dependable and are committed to their patients",It's not necessarily that I don't trust my doctor but  I think she's far too rushed for such a serious matter. She is very casual and nonchalant about things that are of great importance to my life. She brushes off side effects/symptoms as if they are normal every day things but then puts me on medication to alter them and brings up having to have heart surgery. I am getting mixed messages and it makes me unsure of the severity or what she is thinking about course of treatment.
