Text_SubjectiveLit,Text_Anxiety,Text_Numeracy,Text_TrustPhys
Life is great and we all must pick what we want to do and use in life! Best price with best quality says everything ,How doctors decide to take care of uses and problems people have! Along with side effects from medicine and treatment  ,The girl I'm engaged to has health problems at time bc of her brain injury and it cAuses her to have a lot  neurological problems ,Doctors and nurses ppl must have full trust in and clinic and hospitals along with billing and paper work 
I feel very equipped to make appropriate health decisions and obtain the information. I always try to describe my medical information thoroughly and always ask for things to be clarified if need be. The medical staff at the health facilities I've been to have always been incredibly helpful and accessible.,"You never know if the reason you're going in is more serious than you thought it was going to be. Plus it can be a stressful situation, especially if you aren't feeling well",Recently I have been losing weight. I have done this be operating in a caloric deficit. Even without exercising I have lost weight.,MY primary care physician is always thorough with me and gives me good advice in regards to my treatment. I have always gotten better by doing what he says so I have a lot of faith in his judgements
I am confident in answering all questions concerning my health. Also in reading medical papers.,"Just worrying about what might be wrong with me. I hate to be sick, but I trust my doctor.","When I had back surgery. I had researched what they would e doing. I did this so I would have some idea of what they fixed, to be able to take care better after the operation.",I trust them with my care. They know more medical stuff than I do. It would be crazy not to trust them.
"Even though I do not have a vast knowledge of medical terms, conditions, and procedures I believe I have a basic understanding of medicine to ask the right questions if my knowledge of a condition is small.",That my health condition is stable and long lasting and good! I want to be around a long time for my disabled son and wife who need my help.  I have been blessed with good health so my slight anxiety rises if something minor happens to me before a doctors visit,"Having to take care of my dear elderly fater(deceased) now .  The health condition of his health and the ways the doctors prescribed educated me to a certain extent especially relating to congestive heart problems, stroke signs and mini-strokes or TIA's.  My mothers conditions were related to dementia and progressive dementia treatments and care.","Based on years of service my doctor is reliable, friendly, patient, caring and will tell me the truth about my medical needs!"
I usually understand things. I have a lot of experience with reading and understanding medical things.,Unsure of what will happen. ,My dad was sick in the hospital. When the doctor came in to talk to us about what was going on I understood most of what he was talking about,They have not let me down. They have a lot of experience and they know what is best.
by asked the doctor or nurse question. To tell me more about what I need know about what's going on in my body. Are the side affect of medicine that I'm taking,my  health have change a lot. 6/4/15 I have my right leg remove I worry about not being able to do what I use to ,I just had a mammogram I had to go back because  he couldn' see my left breast on the xray all is good. They was doing  it from my wheelchair,She make eye connect and listen to me. Asked me question about how I'm feeling. Tell me what I want to know about my medicine and what side affact
"I can understand most of what I am told about my health from my doctors. If I don't understand something, then I will ask for further clarification. I am well aware of what my healthcare providers are communicating to me. I can make health decisions on my own, for the most part.",I have a general anxiety towards all doctors and healthcare providers. My doctor I trust very well but I still feel somewhat anxious when seeing any kind of healthcare provider. This is something that I just have to deal with when seeing a doctor.,I was once over weight. I learned how to lose weight and keep it off by doing research and sticking to a strict diet and exercise regiment. I was able to keep the weight off and have been studying nutrition on a regular basis.,My doctor has over thirty years of experience practicing medicine. This gives me a lot of confidence in his ability to care for me. He is very caring and through when treating any medical condition that I may have. I trust him greatly.
"I have the capacity to obtain, process and understand basic health information and services needed to make appropriate health decisions.","just the simple fact of going to the doctor. The wait, anticipation. Looking forward to it being over.",i had a cold. i knew i didn't need extra antibiotics and over the counter drugs. i treated it with natural remedies. and i was fine.,"Because they have a knowledge of natural, alternative medicine. They look at the whole person not just the symptoms. "
"I feel confident in my current medical advisors in explaining things in a clear, conciser manner. If I have questions, I ask and they answer until I fully understand. There are no hidden agendas or unspoken topics among my Dr, nurses and myself.","Worried they might find something wrong, requiring more surgery. I've had three major surgeries over the past 5 years.","I have had a total hysterectomy, both knees replaced and my right hip replaced.... All in the past five years.",My primary care Dr seems to think I'm capable of more physical activity than I really am. My orthopedic surgeon knows exactly what I can do and is proud of my accomplishments.
"I am an intelligent person who unfortunately has had to deal with health issues, info and services for many years. This required me to become a very pro active patient. I keep abreast of everything to do with my health issues and am up to date on everything including medication and treatment options and services available to me.  And when I have a question or concern I consult with my physician or my husband who was in the health care field for 30 years.","Getting weighed every single time makes me anxious. My white coat blood pressure makes me anxious... I tell the person who takes my blood pressure before the doctor comes in to wait a few minutes and ask me the standard questions and refer to my online chart BEFORE taking my blood pressure. But-they never listen to me, take it anyway and it comes out high. Then when the doctor comes in I tell him that told the assistant again to wait to take my bp(for the umpteenth time) and he takes it and it's fine.","I've been an advocate for those diagnosed with multiple sclerosis. Neurologists all over the country give their newly diagnosed patients my phone number and email because they find that I'm better at explaining things than they are sometimes because I've lived with MS for 40 years. This doesn't say that I can do percentages anymore, but I have been a great  layperson neurological and psychological source to countless people I've been told for more years than I can count:-)","I don't totally trust my primary care physician mostly because I don't know him well enough. He took over when my long time primary care physician retired. What I do know of him is that he is nice enough but always in a hurry and I swear he just looks at his computer and checks off what blood tests I need. If he touches me physically at all it is to listen with his stethoscope and to feel my neck. That's it. Not that I want him to examine every part of me every time, but maybe a bit more thoroughness and a human touch? It's a good thing I'm proactive because if I didn't mention and point out specific problems that should be obvious to a trained physician, I don't think he'd notice."
