,Sample Index,Condition,Question,Similarity,Generated Response,True Label
0,49,json_datasets_200/all_4.jsonl,Text_SubjectiveLit,0.99354446,"I feel pretty confident in my ability to obtain and understand basic health information. I'm comfortable doing research online and reading about different health topics, and I'm not afraid to ask questions when I don't understand something. I also feel like I'm able to process the information I gather and make informed decisions about my health. Of course, I'm not a doctor, so I know there are limits to my knowledge, but I feel like I'm able to make smart choices about my health most of the","I feel I am capable of obtaining, processing and understanding basic health information and services to make decisions about my health care. I can also use Google to look up any conditions or medications and get more information about it that way also if I dont understand something. I am not afraid to ask my doctor for certain medications I think I may need and discuss my health issues with him. "
1,49,json_datasets_200/all_4.jsonl,Text_Anxiety,0.96516,"I worry about getting bad news, like finding out I have a serious illness or disease that I didn't expect. I also worry about the cost of treatment and whether my insurance will cover it. And, I'm a little nervous about getting poked and prodded, like getting shots or having to undergo uncomfortable procedures. It's just the unknown that makes me anxious, I guess.",What makes me feel most anxious or worried when visiting a doctors office is how much its all going to cost when its over especially if he finds something that requires further actions such as surgery or more blood work. I am afraid of finding out I may have something seriously wrong with me that I didnt realize such as cancer or some other disease like diabetes even though I do eat well and take care of my myself it is still a fear I have. 
2,49,json_datasets_200/all_4.jsonl,Text_Numeracy,0.97152984,"I had a friend who was experiencing symptoms of a thyroid issue, and I was able to recognize the signs and encourage her to see a doctor. I had learned about thyroid issues in college, and I was able to explain to her what might be going on and what she could expect from a doctor's visit. She ended up getting diagnosed and treated, and she was really grateful that I had pushed her to seek medical attention. It felt good to be able to help her and to know that my knowledge",I had had some bad chest pains and thought I was having a heart attack it hurt so bad. I went to the ER and they did all the tests to check for heart attack and everything came back fine. They would not tell me what was wrong with me other than I didnt have heart problems. I got online and started googling my symptoms and realized that I had costocondritis which I had never heard of. So i basically diagnosed myself with it and did what everyone in forums had tried for theirs and eventually it got better and went away. 
3,49,json_datasets_200/all_4.jsonl,Text_TrustPhys,0.97429335,"I trust my doctor because he's not too pushy or aggressive with his treatment plans, and he takes my opinions and concerns into consideration. He also explains things to me in a way that makes sense, and doesn't talk down to me like I'm not smart enough to understand my own health. Plus, he's not too quick to prescribe medication, which makes me feel like he's really thinking about my well-being and not just trying to make a quick fix.",I trust my doctor because he is always upfront and honest. He takes the time to actually listen to my concerns and takes into consideration my opinions about my health. He works with me to get the kind of medicines that I also will approve of taking instead of giving me medicines that I believe are more dangerous for me to take. He seems very trustworthy and honest. 
4,49,json_datasets_200/conditioning_on_all.jsonl,Text_SubjectiveLit,0.9893256,"I'd say I have a pretty good grasp on obtaining and understanding basic health information. As someone who prioritizes living a healthy lifestyle, I make an effort to stay informed about healthy habits, nutrition, and disease prevention. I'm able to find reliable sources of information, whether it's through online research, talking to healthcare professionals, or reading books and articles. I'd rate myself as fairly proficient in processing and understanding this information, although I do recognize that there may be times when I need more guidance","I feel I am capable of obtaining, processing and understanding basic health information and services to make decisions about my health care. I can also use Google to look up any conditions or medications and get more information about it that way also if I dont understand something. I am not afraid to ask my doctor for certain medications I think I may need and discuss my health issues with him. "
5,49,json_datasets_200/conditioning_on_all.jsonl,Text_Anxiety,0.97569704,"To be honest, I get a bit anxious when I'm sitting in the waiting room, thinking about all the possible things that could be wrong with me. I worry that the doctor might find something serious, like a chronic illness or a condition that I've been ignoring. I also get a little nervous about getting poked and prodded, and the thought of having to undergo some kind of uncomfortable procedure or test. Mostly, I just want to make sure I'm doing everything I can to stay",What makes me feel most anxious or worried when visiting a doctors office is how much its all going to cost when its over especially if he finds something that requires further actions such as surgery or more blood work. I am afraid of finding out I may have something seriously wrong with me that I didnt realize such as cancer or some other disease like diabetes even though I do eat well and take care of my myself it is still a fear I have. 
6,49,json_datasets_200/conditioning_on_all.jsonl,Text_Numeracy,0.9871691,"Well, I'd say one experience that comes to mind is when my grandmother was diagnosed with type 2 diabetes. I was really concerned about her health, so I started doing some research on the condition and ways to manage it through diet and exercise. I even helped her develop a meal plan and encouraged her to start taking daily walks with me. With our combined efforts, she was able to get her blood sugar levels under control and even lost some weight. It was really rewarding to see her health improve",I had had some bad chest pains and thought I was having a heart attack it hurt so bad. I went to the ER and they did all the tests to check for heart attack and everything came back fine. They would not tell me what was wrong with me other than I didnt have heart problems. I got online and started googling my symptoms and realized that I had costocondritis which I had never heard of. So i basically diagnosed myself with it and did what everyone in forums had tried for theirs and eventually it got better and went away. 
7,49,json_datasets_200/conditioning_on_all.jsonl,Text_TrustPhys,0.95816034,"To be honest, I have a bit of a love-hate relationship with doctors. On one hand, I trust that they have the education and expertise to diagnose and treat illnesses, and I appreciate their role in helping me maintain my health. However, I sometimes feel like they're too quick to prescribe medication or order tests without fully understanding my lifestyle and habits, which can be frustrating. I wish they would take a more holistic approach to healthcare and consider the preventative measures I'm already taking. Overall,",I trust my doctor because he is always upfront and honest. He takes the time to actually listen to my concerns and takes into consideration my opinions about my health. He works with me to get the kind of medicines that I also will approve of taking instead of giving me medicines that I believe are more dangerous for me to take. He seems very trustworthy and honest. 
8,49,json_datasets_200/holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.9878411,I feel pretty confident in my ability to find and understand basic health information. I'm comfortable using online resources like WebMD and Mayo Clinic to research my symptoms and potential treatments. I also feel like I can communicate effectively with my doctor and ask the right questions to get the information I need to make informed decisions about my care.,"I feel I am capable of obtaining, processing and understanding basic health information and services to make decisions about my health care. I can also use Google to look up any conditions or medications and get more information about it that way also if I dont understand something. I am not afraid to ask my doctor for certain medications I think I may need and discuss my health issues with him. "
9,49,json_datasets_200/holdout_Text_Anxiety.jsonl,Text_Anxiety,0.9802194,"I get really anxious when I'm waiting for test results or diagnosis, especially if I've been experiencing symptoms that I don't understand. I worry that the doctor might find something serious or that I might need some kind of treatment that I'm not prepared for. I also get a little nervous when they're doing physical exams or taking blood, just because I don't like the feeling of being poked and prodded.",What makes me feel most anxious or worried when visiting a doctors office is how much its all going to cost when its over especially if he finds something that requires further actions such as surgery or more blood work. I am afraid of finding out I may have something seriously wrong with me that I didnt realize such as cancer or some other disease like diabetes even though I do eat well and take care of my myself it is still a fear I have. 
